#iterationNumber	varNumber	clauseNumber	itertionTime
1	2356	5438	0.03885s
2	4508	8469	0.01608s
3	6660	14089	0.01603s
4	8812	19705	0.01677s
5	10964	25321	0.01818s
6	13116	19893	0.01847s
7	15268	25509	0.01858s
8	17420	31125	0.02021s
9	19572	36737	0.02176s
10	21724	31077	0.0225s
11	23876	36689	0.02265s
12	26028	42301	0.02333s
13	28180	47913	0.02407s
14	30332	53525	0.02685s
15	32484	44807	0.0251s
16	34636	50419	0.02623s
17	36788	56031	0.02809s
18	38940	61643	0.02861s
19	41092	55988	0.02831s
20	43244	61600	0.02742s
21	45396	67212	0.02891s
22	47548	72814	0.03619s
23	49700	78416	0.0359s
24	51852	68943	0.03181s
25	54004	74545	0.0359s
26	56156	80147	0.0377s
27	58308	85749	0.03896s
28	60460	79815	0.04268s
29	62612	85405	0.04025s
30	64764	82194	0.04175s
31	66916	87742	0.04732s
32	69068	93286	0.03892s
33	71220	98830	0.04219s
34	73372	104374	0.04322s
35	75524	90764	0.04151s
36	77676	96308	0.04355s
37	79828	101852	0.07735s
38	81980	97999	0.05343s
39	84132	94578	0.04246s
40	86284	100066	0.04296s
41	88436	105550	0.04451s
42	90588	111034	0.05349s
43	92740	99092	0.0549s
44	94892	104564	0.05393s
45	97044	102754	0.06101s
46	99196	108222	0.04856s
47	101348	113678	0.05405s
48	103500	105331	0.05287s
49	105652	110779	0.05263s
50	107804	116227	0.05739s
51	109956	121659	0.07541s
52	112108	110023	0.06216s
53	114260	115439	0.07878s
54	116412	113226	0.05683s
55	118564	118634	0.0644s
56	120716	124038	0.06938s
57	122868	118278	0.05865s
58	125020	123678	0.06067s
59	127172	129074	0.0582s
60	129324	134470	0.05911s
61	131476	139862	0.07208s
62	133628	126403	0.0597s
63	135780	131795	0.07146s
64	137932	137187	0.08985s
65	140084	142579	0.09792s
66	142236	134367	0.1031s
67	144388	133937	0.06486s
68	146540	135477	0.07078s
69	148692	140849	0.06497s
70	150844	146217	0.111s
71	152996	140013	0.08822s
72	155148	141689	0.06581s
73	157300	147057	0.0713s
74	159452	145202	0.07025s
75	161604	150570	0.1394s
76	163756	148775	0.07562s
77	165908	154139	0.07747s
78	168060	151972	0.08494s
79	170212	157336	0.07545s
80	172364	162692	0.07849s
81	174516	156747	0.1456s
82	176668	158571	0.08567s
83	178820	163923	0.2436s
84	180972	157717	0.08863s
85	183124	159077	0.0824s
86	185276	164413	0.08697s
87	187428	169749	0.07838s
88	189580	175085	0.1024s
89	191732	180421	0.0963s
90	193884	168532	0.1538s
91	196036	170052	0.1017s
92	198188	175386	0.09825s
93	200340	180720	0.271s
94	202492	175551	0.09033s
95	204644	177387	0.1372s
96	206796	182717	0.09446s
97	208948	177829	0.1139s
98	211100	183147	0.1689s
99	213252	177740	0.1187s
100	215404	176690	0.1532s
101	217556	181994	0.1628s
102	219708	179240	0.156s
103	221860	180199	0.1327s
104	224012	185491	0.1279s
105	226164	183131	0.1299s
106	228316	188401	0.101s
107	230468	177992	0.1937s
108	232620	179759	0.132s
109	234772	185025	0.2248s
110	236924	181605	0.09901s
111	239076	186871	0.1594s
112	241228	184693	0.1014s
113	243380	189955	0.2714s
114	245532	186917	0.1838s
115	247684	188435	0.1514s
116	249836	160081	0.2358s
117	251988	160319	0.3487s
118	254140	159468	0.2317s
119	256292	146849	0.1339s
120	258444	151997	0.1437s
121	260596	145149	0.1253s
122	262748	146740	0.179s
123	264900	146717	0.1416s
124	267052	147668	0.1278s
125	269204	152812	0.1365s
126	271356	149588	0.1101s
127	273508	154732	0.119s
128	275660	151558	0.1878s
129	277812	152097	0.1325s
130	279964	157237	0.2105s
131	282116	153759	0.1475s
132	284268	158899	0.13s
133	286420	164039	0.1253s
134	288572	158423	0.115s
135	290724	163563	0.4062s
136	292876	160941	0.1149s
137	295028	166079	0.1195s
138	297180	163819	0.1449s
139	299332	168957	0.1876s
140	301484	174095	0.2495s
141	303636	156468	0.1635s
142	305788	161580	0.2089s
This is the last UNSAT round.
