#iterationNumber	varNumber	clauseNumber	itertionTime
1	11805	31419	0.2047s
2	19781	33980	0.06076s
3	27757	54752	0.07183s
4	35733	37738	0.06115s
5	43709	58330	0.07092s
6	51685	39441	0.06404s
7	59661	60017	0.07301s
8	67637	42520	0.07033s
9	75613	63082	0.07019s
10	83589	83638	0.07768s
11	91565	44678	0.07336s
12	99541	65234	0.07612s
13	107517	85790	0.09841s
14	115493	48458	0.08325s
15	123469	49377	0.08133s
16	131445	69917	0.101s
17	139421	51843	0.08788s
18	147397	72375	0.08727s
19	155373	92907	0.09282s
20	163349	50376	0.09125s
21	171325	70900	0.1109s
22	179301	52283	0.0952s
23	187277	72807	0.09657s
24	195253	93331	0.1233s
25	203229	56915	0.1066s
26	211205	57473	0.1074s
27	219181	77989	0.1066s
28	227157	98505	0.1116s
29	235133	61471	0.1454s
30	243109	62743	0.1134s
31	251085	83259	0.1163s
32	259061	103775	0.1144s
33	267037	124291	0.1161s
34	275013	144807	0.1258s
35	282989	69607	0.1199s
36	290965	90123	0.1236s
37	298941	110635	0.1246s
38	306917	131139	0.1302s
39	314893	151635	0.1816s
40	322869	67546	0.2924s
41	330845	64155	0.1874s
42	338821	64329	0.1399s
43	346797	65147	0.1551s
44	354773	85623	0.3153s
45	362749	62301	0.14s
46	370725	63089	0.139s
47	378701	83551	0.1439s
48	386677	104013	0.1447s
49	394653	124475	0.1421s
50	402629	144937	0.1474s
51	410605	165399	0.1506s
52	418581	185861	0.1561s
53	426557	206323	0.1512s
54	434533	226785	0.1724s
55	442509	70147	0.155s
56	450485	90609	0.1609s
57	458461	111071	0.1584s
58	466437	131533	0.1634s
59	474413	151995	0.1635s
60	482389	172457	0.1679s
61	490365	192919	0.1665s
62	498341	213381	0.1727s
63	506317	233843	0.1848s
64	514293	77239	0.2011s
65	522269	97701	0.1775s
66	530245	118163	0.2018s
67	538221	79453	0.1848s
68	546197	99915	0.1829s
69	554173	120377	0.1917s
70	562149	140837	0.1972s
71	570125	161297	0.1801s
72	578101	181757	0.21s
73	586077	82108	0.1944s
74	594053	102568	0.1907s
75	602029	123028	0.3128s
76	610005	57299	0.2184s
77	617981	77735	0.2044s
78	625957	98171	0.2502s
79	633933	49617	0.1994s
80	641909	70027	0.2423s
81	649885	38967	0.2816s
This is the last UNSAT round.
