#iterationNumber	varNumber	clauseNumber	itertionTime
1	11897	31603	0.2138s
2	19965	34452	0.06398s
3	28033	55458	0.06958s
4	36101	54059	0.06236s
5	44169	75009	0.07346s
6	52237	95959	0.07964s
7	60305	86089	0.09162s
8	68373	81318	0.0697s
9	76441	102082	0.07085s
10	84509	122846	0.07399s
11	92577	143610	0.07458s
12	100645	164370	0.08156s
13	108713	50137	0.0767s
14	116781	70889	0.08281s
15	124849	91637	0.08574s
16	132917	53444	0.124s
17	140985	53602	0.08786s
18	149053	74338	0.08895s
19	157121	95060	0.09853s
20	165189	55850	0.09133s
21	173257	76568	0.09187s
22	181325	97286	0.09495s
23	189393	118004	0.102s
24	197461	60035	0.1014s
25	205529	80747	0.1041s
26	213597	101459	0.1024s
27	221665	122163	0.1155s
28	229733	58739	0.104s
29	237801	79435	0.1594s
30	245869	56838	0.1132s
31	253937	77526	0.1602s
32	262005	59196	0.1205s
33	270073	58342	0.1171s
34	278141	79022	0.1185s
35	286209	99702	0.1274s
36	294277	120382	0.1295s
37	302345	141062	0.1386s
38	310413	161742	0.1387s
39	318481	61294	0.1767s
40	326549	61996	0.132s
41	334617	82666	0.1385s
42	342685	57309	0.169s
43	350753	57698	0.1764s
44	358821	51340	0.2742s
45	366889	48637	0.1384s
46	374957	49189	0.3021s
47	383025	43233	0.1528s
48	391093	43619	0.1334s
49	399161	64231	0.2708s
This is the last UNSAT round.
