#iterationNumber	varNumber	clauseNumber	itertionTime
1	11681	31171	0.2248s
2	19533	33378	0.06092s
3	27385	53754	0.06421s
4	35237	74086	0.07193s
5	43089	39766	0.06461s
6	50941	60082	0.07118s
7	58793	80398	0.06867s
8	66645	100714	0.08013s
9	74497	48002	0.07233s
10	82349	68250	0.0771s
11	90201	88482	0.08033s
12	98053	37669	0.07135s
13	105905	57897	0.07499s
14	113757	78121	0.09171s
15	121609	37703	0.08188s
16	129461	57911	0.08818s
17	137313	78119	0.1162s
18	145165	39855	0.1084s
19	153017	40341	0.09291s
20	160869	60523	0.09393s
21	168721	80705	0.1112s
22	176573	35097	0.119s
23	184425	34785	0.4462s
This is the last UNSAT round.
