#iterationNumber	varNumber	clauseNumber	itertionTime
1	11505	30819	0.2044s
2	19181	32524	0.05927s
3	26857	52444	0.06009s
4	34533	72352	0.06086s
5	42209	92260	0.05983s
6	49885	112168	0.06993s
7	57561	36361	0.07877s
8	65237	35993	0.06736s
9	72913	55861	0.06788s
10	80589	75721	0.06816s
11	88265	95581	0.0762s
12	95941	38251	0.07232s
13	103617	58111	0.07292s
14	111293	77971	0.08124s
15	118969	97831	0.0797s
16	126645	117691	0.08796s
17	134321	42071	0.07933s
18	141997	61919	0.0852s
19	149673	81763	0.08486s
20	157349	101599	0.1021s
21	165025	40662	0.09341s
22	172701	36146	0.08706s
23	180377	55958	0.09212s
24	188053	75766	0.09619s
25	195729	34639	0.4222s
This is the last UNSAT round.
