#iterationNumber	varNumber	clauseNumber	itertionTime
1	11565	30939	0.2221s
2	19301	32806	0.05896s
3	27037	52858	0.05675s
4	34773	72902	0.06824s
5	42509	34595	0.06144s
6	50245	54635	0.06571s
7	57981	74667	0.06315s
8	65717	94695	0.07441s
9	73453	36538	0.07507s
10	81189	37462	0.06811s
11	88925	57466	0.08104s
12	96661	36990	0.07556s
13	104397	56986	0.07802s
14	112133	76982	0.07798s
15	119869	39367	0.07929s
16	127605	59351	0.08361s
17	135341	79335	0.08015s
18	143077	99319	0.08904s
19	150813	42673	0.08977s
20	158549	62649	0.0948s
21	166285	43365	0.1044s
22	174021	43005	0.09117s
23	181757	62965	0.1286s
24	189493	39387	0.09332s
25	197229	59335	0.1536s
26	204965	39350	0.1288s
27	212701	38712	0.1057s
28	220437	38940	0.1043s
29	228173	58880	0.1783s
30	235909	35099	0.3422s
This is the last UNSAT round.
