#iterationNumber	varNumber	clauseNumber	itertionTime
1	1191	3067	0.04
2	2349	6227	0.0412
3	3507	9387	0.0461
4	4665	12499	0.0601
5	5823	15607	0.0619
6	6981	18715	0.0726
7	8139	21823	0.074
8	9297	24931	0.0871
9	10455	28039	0.0872
10	11613	31143	0.1003
11	12771	34247	0.1108
12	13929	37351	0.1127
13	15087	40455	0.1201
14	16245	43559	0.122
15	17403	46663	0.1343
16	18561	49763	0.1431
17	19719	52863	0.1339
18	20877	55963	0.1753
19	22035	59063	0.1391
20	23193	62131	0.154
21	24351	65199	0.1802
22	25509	68267	0.1823
23	26667	71335	0.1836
24	27825	74403	0.1763
25	28983	77455	0.1902
26	30141	80503	0.1878
27	31299	83543	0.1991
28	32457	86583	0.2073
29	33615	89619	0.2048
30	34773	92655	0.2138
31	35931	95687	0.2142
32	37089	98719	0.2328
33	38247	101751	0.2312
34	39405	104783	0.2355
35	40563	107815	0.2994
36	41721	110847	0.2685
37	42879	113879	0.2542
38	44037	116907	0.2591
39	45195	119935	0.2767
40	46353	122959	0.2774
41	47511	125983	0.2764
42	48669	129007	0.2863
43	49827	132031	0.3027
44	50985	135051	0.3624
45	52143	138071	0.2969
46	53301	141087	0.3192
47	54459	144083	0.3114
48	55617	147075	0.3351
49	56775	150063	0.3629
50	57933	153047	0.3395
51	59091	156027	0.362
52	60249	159003	0.3724
53	61407	161975	0.3809
The last iteration is UNSAT.
The total time used (including file parse time) is
11.3185 s
