#iterationNumber	varNumber	clauseNumber	itertionTime
1	283841	868643	0.0837
2	283841	868643	0.1142
3	283841	868643	0.1802
4	283841	868643	0.1889
5	283841	868643	0.2189
6	283841	868643	0.2662
7	283841	868643	0.2766
8	283841	868643	0.3435
9	283841	868643	0.3602
10	283841	868643	0.3966
11	283841	868643	0.4121
12	283841	868643	0.4816
13	283841	868643	0.5228
14	283841	868643	0.5611
15	283841	868643	0.5915
16	283841	868643	0.7535
17	283841	868643	0.7101
18	283841	868643	0.7515
19	283841	868643	0.7814
20	283841	868643	0.9116
21	283841	868643	0.8835
22	283841	868643	0.8881
23	283841	868643	1.0678
24	283841	868643	1.0323
25	283841	868643	0.9846
26	283841	868643	1.2828
27	283841	868643	1.2321
28	283841	868643	1.1466
29	283841	868643	1.3504
30	283841	868643	1.3118
31	283841	868643	1.2224
32	283841	868643	1.2896
33	283841	868643	1.3525
34	283841	868643	1.3667
35	283841	868643	1.5826
36	283841	868643	1.5763
37	283841	868643	1.6803
38	283841	868643	1.5515
39	283841	868643	1.7381
40	283841	868643	1.7254
41	283841	868643	1.6643
42	283841	868643	1.6741
43	283841	868643	1.8208
44	283841	868643	1.7011
45	283841	868643	1.883
46	283841	868643	2.0056
47	283841	868643	2.0672
48	283841	868643	2.0913
49	283841	868643	2.2507
50	283841	868643	2.5039
51	283841	868643	4.7623
The last iteration is UNSAT.
The total time used (including file parse time) is
61.4298 s
