#iterationNumber	varNumber	clauseNumber	itertionTime
1	3437	8820	0.06107s
2	5935	10627	0.021s
3	8433	17127	0.01961s
4	10931	23615	0.02122s
5	13429	30099	0.02262s
6	15927	13813	0.02127s
7	18425	20265	0.02188s
8	20923	26713	0.02328s
9	23421	15669	0.02274s
10	25919	22117	0.02494s
11	28417	28549	0.02478s
12	30915	34981	0.02687s
13	33413	16232	0.02461s
14	35911	22630	0.02689s
15	38409	29022	0.03047s
16	40907	35410	0.02974s
17	43405	17589	0.02937s
18	45903	23961	0.02993s
19	48401	30333	0.03699s
20	50899	18320	0.03156s
21	53397	24670	0.03077s
22	55895	31020	0.0324s
23	58393	19663	0.03153s
24	60891	26001	0.03218s
25	63389	32339	0.03467s
26	65887	38663	0.03572s
27	68385	19331	0.04179s
28	70883	19564	0.03411s
29	73381	25882	0.03887s
30	75879	32196	0.0755s
31	78377	19912	0.039s
32	80875	19233	0.04036s
33	83373	25529	0.0534s
This is the last UNSAT round.
