#iterationNumber	varNumber	clauseNumber	itertionTime
1	5781	13772	0.09255s
2	10623	19391	0.03474s
3	15465	32151	0.03876s
4	20307	44911	0.07041s
5	25149	55897	0.05101s
6	29991	68073	0.06576s
7	34833	79736	0.04706s
8	39675	92492	0.07637s
9	44517	102119	0.2337s
10	49359	111299	0.1354s
11	54201	123168	0.1949s
12	59043	134383	0.1226s
13	63885	146278	0.4298s
14	68727	156868	0.6526s
15	73569	167215	0.2066s
16	78411	179032	0.1054s
17	83253	189957	0.8012s
18	88095	201446	0.8626s
19	92937	212226	0.6559s
20	97779	222480	0.6141s
21	102621	233987	0.09002s
22	107463	246713	0.1189s
23	112305	259439	2.989s
24	117147	265848	0.1107s
25	121989	277678	0.1007s
26	126831	290402	1.098s
27	131673	294052	1.178s
28	136515	299846	0.1028s
29	141357	310739	0.1018s
30	146199	323459	0.1015s
31	151041	336179	3.566s
32	155883	341209	0.1683s
33	160725	353927	1.184s
34	165567	362426	0.1315s
35	170409	375140	1.098s
36	175251	384853	0.1802s
37	180093	397567	5.058s
38	184935	400862	0.141s
39	189777	413570	0.1302s
40	194619	426278	0.4689s
41	199461	432197	0.1612s
42	204303	444905	0.1355s
43	209145	457613	0.4376s
44	213987	463183	0.1424s
45	218829	475889	0.2109s
46	223671	488595	0.1538s
47	228513	501301	1.218s
48	233355	504149	0.2272s
49	238197	515341	2.987s
50	243039	524815	1.675s
51	247881	536003	0.2234s
52	252723	547185	5.761s
53	257565	554018	1.097s
54	262407	565068	2.612s
55	267249	573561	4.586s
56	272091	576252	1.005s
57	276933	587175	1.573s
58	281775	597379	1.303s
59	286617	605907	1.586s
60	291459	616625	0.3204s
61	296301	629321	0.2018s
62	301143	642017	3.018s
63	305985	642096	7.058s
64	310827	628957	2.889s
65	315669	637937	1.905s
66	320511	647770	2.405s
67	325353	655840	0.2358s
68	330195	666135	2.598s
69	335037	669794	0.3435s
70	339879	682454	1.494s
71	344721	690000	1.572s
72	349563	699600	1.286s
73	354405	709093	2.049s
74	359247	719311	0.7466s
75	364089	729817	3.912s
76	368931	737933	2.617s
77	373773	747884	0.2884s
78	378615	701922	1.583s
79	383457	711473	3.308s
80	388299	720695	2.379s
81	393141	729715	2.014s
82	397983	736764	4.069s
83	402825	746006	0.3765s
84	407667	758584	8.808s
85	412509	764146	11.16s
86	417351	774151	3.143s
87	422193	780824	8.388s
88	427035	788341	5.069s
89	431877	783162	12.72s
90	436719	789356	7.208s
91	441561	798276	8691s
This is the last UNSAT round.
